Tempo,Lambda,En,Ew
600.0,4.08,1.4743917815938659,0.36145267692612165
1200.0,4.02,1.4368767457387726,0.3574380022466876
1800.0,4.042222222222223,1.5558360266343465,0.3848962132979508
2400.0,4.04125,1.658000381744694,0.4102691943671872
3000.0,4.042,1.6179009061203373,0.40027236667942945
3600.0,4.0475,1.6018833456326693,0.3958283120993952
4200.0,4.056904761904762,1.6373968300254649,0.4036074116024986
4800.0,4.05875,1.6245332507966574,0.40025457364968137
5400.0,4.0525925925925925,1.607227620118835,0.39659244875849015
6000.0,4.0328333333333335,1.567364385510671,0.3886509200728727
6600.0,4.036969696969697,1.5568985456154854,0.38566248949056203
7200.0,4.039305555555556,1.566185202294426,0.3877362533478979
7800.0,4.037564102564103,1.573611067180375,0.3897451079720159
8400.0,4.034880952380952,1.5775773192559377,0.3910019215332334
9000.0,4.019666666666667,1.5592403091000269,0.38790583482352636
9600.0,4.0285416666666665,1.5600824058269052,0.38725735883037227
